,date,email,name,phno,service,time,url
0,2022-08-03,elonmusk@googel.com,elonmusk,90090909090,tesla,21:17:09,www.google.com
1,2022-08-03,elonmusk@googel.com,elonmusk,90090909090,tesla,21:17:15,www.google.com
2,2022-08-03,elonmusk@googel.com,elonmusk,90090909090,tesla,22:04:51,www.google.com
3,2022-08-03,elonmusk@googel.com,elonmusk,90090909090,tesla,22:04:55,www.google.com
4,2022-08-03,elonmusk@googel.com,elonmusk,90090909090,tesla,22:05:11,www.google.com
5,2022-08-03,elonmusk@googel.com,elonmusk,90090909090,tesla,22:05:50,www.google.com
6,2022-08-03,elonmusk@googel.com,elonmusk,90090909090,tesla,22:06:00,www.google.com
7,2022-08-03,odelapradeep12@gmail.com,elonmusk,+919908293531,Full Marketing Suite,22:15:02,pradeepodela.ai
8,2022-08-03,odel@jkll.in,pradeep,123456789,Full Marketing Suite,22:19:48,oprl.ai
9,03-08-2022,olo@km.aio,pradeep,123468992316,Full Marketing Suite,22:54:36,olo.ai
10,2022-08-03,elonmusk@googel.com,elonmusk,90090909090,tesla,23:56:55,www.google.com
